# Wavelength [nm]	Power [dBm]
1505.0000000000	-46.9890331000
1505.0020000000	-46.9862489000
1505.0040000000	-46.9841766000
1505.0060000000	-46.9840571000
1505.0080000000	-46.9827748000
1505.0100000000	-46.9800771000
1505.0120000000	-46.9779781000
1505.0140000000	-46.9781514000
1505.0160000000	-46.9803821000
1505.0180000000	-46.9824294000
1505.0200000000	-46.9844575000
1505.0220000000	-46.9858014000
1505.0240000000	-46.9830536000
1505.0260000000	-46.9736869000
1505.0280000000	-46.9595693000
1505.0300000000	-46.9473462000
1505.0320000000	-46.9431523000
1505.0340000000	-46.9451136000
1505.0360000000	-46.9469112000
1505.0380000000	-46.9464188000
1505.0400000000	-46.9457071000
1505.0420000000	-46.9473254000
1505.0440000000	-46.9507517000
1505.0460000000	-46.9519932000
1505.0480000000	-46.9486915000
1505.0500000000	-46.9467203000
1505.0520000000	-46.9495164000
1505.0540000000	-46.9546462000
1505.0560000000	-46.9604190000
1505.0580000000	-46.9643595000
1505.0600000000	-46.9680822000
1505.0620000000	-46.9708453000
1505.0640000000	-46.9683754000
1505.0660000000	-46.9616508000
1505.0680000000	-46.9545647000
1505.0700000000	-46.9489463000
1505.0720000000	-46.9442896000
1505.0740000000	-46.9423380000
1505.0760000000	-46.9450640000
1505.0780000000	-46.9516948000
1505.0800000000	-46.9589022000
1505.0820000000	-46.9619290000
1505.0840000000	-46.9605124000
1505.0860000000	-46.9590504000
1505.0880000000	-46.9606960000
1505.0900000000	-46.9651119000
1505.0920000000	-46.9692107000
1505.0940000000	-46.9685904000
1505.0960000000	-46.9653802000
1505.0980000000	-46.9659490000
1505.1000000000	-46.9697965000
1505.1020000000	-46.9699951000
1505.1040000000	-46.9653994000
1505.1060000000	-46.9615656000
1505.1080000000	-46.9625028000
1505.1100000000	-46.9666986000
1505.1120000000	-46.9695465000
1505.1140000000	-46.9665776000
1505.1160000000	-46.9579414000
1505.1180000000	-46.9499818000
1505.1200000000	-46.9471643000
1505.1220000000	-46.9471823000
1505.1240000000	-46.9452462000
1505.1260000000	-46.9395078000
1505.1280000000	-46.9324663000
1505.1300000000	-46.9301308000
1505.1320000000	-46.9332035000
1505.1340000000	-46.9346982000
1505.1360000000	-46.9324375000
1505.1380000000	-46.9290743000
1505.1400000000	-46.9239326000
1505.1420000000	-46.9173494000
1505.1440000000	-46.9135310000
1505.1460000000	-46.9122368000
1505.1480000000	-46.9101548000
1505.1500000000	-46.9067178000
1505.1520000000	-46.9026744000
1505.1540000000	-46.8987725000
1505.1560000000	-46.8945225000
1505.1580000000	-46.8908626000
1505.1600000000	-46.8880083000
1505.1620000000	-46.8870392000
1505.1640000000	-46.8890140000
1505.1660000000	-46.8915885000
1505.1680000000	-46.8938308000
1505.1700000000	-46.8940789000
1505.1720000000	-46.8896763000
1505.1740000000	-46.8824869000
1505.1760000000	-46.8791614000
1505.1780000000	-46.8844592000
1505.1800000000	-46.8952938000
1505.1820000000	-46.9043759000
1505.1840000000	-46.9077468000
1505.1860000000	-46.9073968000
1505.1880000000	-46.9051184000
1505.1900000000	-46.9038879000
1505.1920000000	-46.9056031000
1505.1940000000	-46.9064845000
1505.1960000000	-46.9054934000
1505.1980000000	-46.9049964000
1505.2000000000	-46.9073142000
1505.2020000000	-46.9134215000
1505.2040000000	-46.9207848000
1505.2060000000	-46.9258032000
1505.2080000000	-46.9269387000
1505.2100000000	-46.9237957000
1505.2120000000	-46.9199770000
1505.2140000000	-46.9209516000
1505.2160000000	-46.9263334000
1505.2180000000	-46.9304082000
1505.2200000000	-46.9293173000
1505.2220000000	-46.9242307000
1505.2240000000	-46.9206989000
1505.2260000000	-46.9204862000
1505.2280000000	-46.9213517000
1505.2300000000	-46.9218626000
1505.2320000000	-46.9191216000
1505.2340000000	-46.9127284000
1505.2360000000	-46.9069243000
1505.2380000000	-46.9043573000
1505.2400000000	-46.9016734000
1505.2420000000	-46.8949862000
1505.2440000000	-46.8845147000
1505.2460000000	-46.8747216000
1505.2480000000	-46.8684867000
1505.2500000000	-46.8625382000
1505.2520000000	-46.8553208000
1505.2540000000	-46.8478955000
1505.2560000000	-46.8424763000
1505.2580000000	-46.8401902000
1505.2600000000	-46.8374693000
1505.2620000000	-46.8336240000
1505.2640000000	-46.8323660000
1505.2660000000	-46.8341625000
1505.2680000000	-46.8363844000
1505.2700000000	-46.8383611000
1505.2720000000	-46.8384977000
1505.2740000000	-46.8348752000
1505.2760000000	-46.8290520000
1505.2780000000	-46.8242973000
1505.2800000000	-46.8220355000
1505.2820000000	-46.8227306000
1505.2840000000	-46.8270620000
1505.2860000000	-46.8319108000
1505.2880000000	-46.8339125000
1505.2900000000	-46.8336789000
1505.2920000000	-46.8326669000
1505.2940000000	-46.8328079000
1505.2960000000	-46.8345947000
1505.2980000000	-46.8355922000
1505.3000000000	-46.8345238000
1505.3020000000	-46.8327405000
1505.3040000000	-46.8309488000
1505.3060000000	-46.8294186000
1505.3080000000	-46.8288590000
1505.3100000000	-46.8294989000
1505.3120000000	-46.8303026000
1505.3140000000	-46.8306384000
1505.3160000000	-46.8322163000
1505.3180000000	-46.8363669000
1505.3200000000	-46.8393095000
1505.3220000000	-46.8367920000
1505.3240000000	-46.8305303000
1505.3260000000	-46.8261616000
1505.3280000000	-46.8262083000
1505.3300000000	-46.8273718000
1505.3320000000	-46.8264172000
1505.3340000000	-46.8213272000
1505.3360000000	-46.8114221000
1505.3380000000	-46.8009877000
1505.3400000000	-46.7960079000
1505.3420000000	-46.7961839000
1505.3440000000	-46.7954469000
1505.3460000000	-46.7910100000
1505.3480000000	-46.7839307000
1505.3500000000	-46.7774569000
1505.3520000000	-46.7747066000
1505.3540000000	-46.7751382000
1505.3560000000	-46.7740958000
1505.3580000000	-46.7673622000
1505.3600000000	-46.7594991000
1505.3620000000	-46.7557001000
1505.3640000000	-46.7552996000
1505.3660000000	-46.7549580000
1505.3680000000	-46.7530911000
1505.3700000000	-46.7521045000
1505.3720000000	-46.7520136000
1505.3740000000	-46.7503947000
1505.3760000000	-46.7463751000
1505.3780000000	-46.7386713000
1505.3800000000	-46.7277351000
1505.3820000000	-46.7188034000
1505.3840000000	-46.7168055000
1505.3860000000	-46.7183066000
1505.3880000000	-46.7170195000
1505.3900000000	-46.7120061000
1505.3920000000	-46.7053096000
1505.3940000000	-46.6990364000
1505.3960000000	-46.6929449000
1505.3980000000	-46.6864472000
1505.4000000000	-46.6803899000
1505.4020000000	-46.6773721000
1505.4040000000	-46.6778496000
1505.4060000000	-46.6780801000
1505.4080000000	-46.6760957000
1505.4100000000	-46.6740460000
1505.4120000000	-46.6739358000
1505.4140000000	-46.6737316000
1505.4160000000	-46.6714467000
1505.4180000000	-46.6696829000
1505.4200000000	-46.6709306000
1505.4220000000	-46.6730809000
1505.4240000000	-46.6747179000
1505.4260000000	-46.6800106000
1505.4280000000	-46.6882377000
1505.4300000000	-46.6938473000
1505.4320000000	-46.6958617000
1505.4340000000	-46.6978389000
1505.4360000000	-46.7018785000
1505.4380000000	-46.7046896000
1505.4400000000	-46.7035427000
1505.4420000000	-46.6990608000
1505.4440000000	-46.6963534000
1505.4460000000	-46.7007601000
1505.4480000000	-46.7107728000
1505.4500000000	-46.7196303000
1505.4520000000	-46.7235495000
1505.4540000000	-46.7216136000
1505.4560000000	-46.7134299000
1505.4580000000	-46.7050688000
1505.4600000000	-46.7016556000
1505.4620000000	-46.6984956000
1505.4640000000	-46.6904511000
1505.4660000000	-46.6801603000
