# Wavelength [nm]	Power [dBm]
1505.0000000000	-47.8157680000
1505.0020000000	-47.8287773000
1505.0040000000	-47.8382095000
1505.0060000000	-47.8389524000
1505.0080000000	-47.8312064000
1505.0100000000	-47.8246425000
1505.0120000000	-47.8268102000
1505.0140000000	-47.8381970000
1505.0160000000	-47.8509606000
1505.0180000000	-47.8545328000
1505.0200000000	-47.8512944000
1505.0220000000	-47.8457207000
1505.0240000000	-47.8419279000
1505.0260000000	-47.8453917000
1505.0280000000	-47.8530807000
1505.0300000000	-47.8590874000
1505.0320000000	-47.8595599000
1505.0340000000	-47.8552559000
1505.0360000000	-47.8503152000
1505.0380000000	-47.8436758000
1505.0400000000	-47.8329855000
1505.0420000000	-47.8257916000
1505.0440000000	-47.8265243000
1505.0460000000	-47.8299686000
1505.0480000000	-47.8346669000
1505.0500000000	-47.8395605000
1505.0520000000	-47.8425778000
1505.0540000000	-47.8470799000
1505.0560000000	-47.8551407000
1505.0580000000	-47.8592250000
1505.0600000000	-47.8509692000
1505.0620000000	-47.8348003000
1505.0640000000	-47.8220037000
1505.0660000000	-47.8182822000
1505.0680000000	-47.8216573000
1505.0700000000	-47.8269635000
1505.0720000000	-47.8284452000
1505.0740000000	-47.8243792000
1505.0760000000	-47.8215358000
1505.0780000000	-47.8240423000
1505.0800000000	-47.8264869000
1505.0820000000	-47.8240896000
1505.0840000000	-47.8189964000
1505.0860000000	-47.8165349000
1505.0880000000	-47.8189691000
1505.0900000000	-47.8260574000
1505.0920000000	-47.8330857000
1505.0940000000	-47.8361417000
1505.0960000000	-47.8403964000
1505.0980000000	-47.8474067000
1505.1000000000	-47.8525054000
1505.1020000000	-47.8559160000
1505.1040000000	-47.8583116000
1505.1060000000	-47.8588621000
1505.1080000000	-47.8606250000
1505.1100000000	-47.8668066000
1505.1120000000	-47.8721939000
1505.1140000000	-47.8714181000
1505.1160000000	-47.8692488000
1505.1180000000	-47.8729296000
1505.1200000000	-47.8793473000
1505.1220000000	-47.8812592000
1505.1240000000	-47.8776223000
1505.1260000000	-47.8721067000
1505.1280000000	-47.8693112000
1505.1300000000	-47.8678890000
1505.1320000000	-47.8659829000
1505.1340000000	-47.8666896000
1505.1360000000	-47.8685258000
1505.1380000000	-47.8690022000
1505.1400000000	-47.8696024000
1505.1420000000	-47.8726135000
1505.1440000000	-47.8754736000
1505.1460000000	-47.8713920000
1505.1480000000	-47.8616422000
1505.1500000000	-47.8508806000
1505.1520000000	-47.8440066000
1505.1540000000	-47.8421976000
1505.1560000000	-47.8416958000
1505.1580000000	-47.8382306000
1505.1600000000	-47.8337266000
1505.1620000000	-47.8337793000
1505.1640000000	-47.8355465000
1505.1660000000	-47.8320920000
1505.1680000000	-47.8220405000
1505.1700000000	-47.8092537000
1505.1720000000	-47.7987471000
1505.1740000000	-47.7939301000
1505.1760000000	-47.7922482000
1505.1780000000	-47.7894196000
1505.1800000000	-47.7863009000
1505.1820000000	-47.7888868000
1505.1840000000	-47.7958367000
1505.1860000000	-47.7996980000
1505.1880000000	-47.7976974000
1505.1900000000	-47.7891052000
1505.1920000000	-47.7813447000
1505.1940000000	-47.7835160000
1505.1960000000	-47.7896713000
1505.1980000000	-47.7883570000
1505.2000000000	-47.7809593000
1505.2020000000	-47.7748145000
1505.2040000000	-47.7729389000
1505.2060000000	-47.7755448000
1505.2080000000	-47.7770417000
1505.2100000000	-47.7721093000
1505.2120000000	-47.7626646000
1505.2140000000	-47.7519993000
1505.2160000000	-47.7437553000
1505.2180000000	-47.7391097000
1505.2200000000	-47.7351321000
1505.2220000000	-47.7328644000
1505.2240000000	-47.7328564000
1505.2260000000	-47.7322458000
1505.2280000000	-47.7311680000
1505.2300000000	-47.7303707000
1505.2320000000	-47.7326099000
1505.2340000000	-47.7381696000
1505.2360000000	-47.7409768000
1505.2380000000	-47.7386784000
1505.2400000000	-47.7324796000
1505.2420000000	-47.7224898000
1505.2440000000	-47.7098585000
1505.2460000000	-47.6985295000
1505.2480000000	-47.6914452000
1505.2500000000	-47.6884401000
1505.2520000000	-47.6860520000
1505.2540000000	-47.6777734000
1505.2560000000	-47.6652063000
1505.2580000000	-47.6594197000
1505.2600000000	-47.6635555000
1505.2620000000	-47.6672709000
1505.2640000000	-47.6647665000
1505.2660000000	-47.6589847000
1505.2680000000	-47.6514585000
1505.2700000000	-47.6433723000
1505.2720000000	-47.6360010000
1505.2740000000	-47.6297145000
1505.2760000000	-47.6224179000
1505.2780000000	-47.6137931000
1505.2800000000	-47.6063630000
1505.2820000000	-47.6020248000
1505.2840000000	-47.6001782000
1505.2860000000	-47.5955270000
1505.2880000000	-47.5850083000
1505.2900000000	-47.5703024000
1505.2920000000	-47.5566741000
1505.2940000000	-47.5489348000
1505.2960000000	-47.5414321000
1505.2980000000	-47.5277911000
1505.3000000000	-47.5137440000
1505.3020000000	-47.5064415000
1505.3040000000	-47.5043999000
1505.3060000000	-47.5034235000
1505.3080000000	-47.5005942000
1505.3100000000	-47.4941149000
1505.3120000000	-47.4885566000
1505.3140000000	-47.4885726000
1505.3160000000	-47.4905358000
1505.3180000000	-47.4895599000
1505.3200000000	-47.4878549000
1505.3220000000	-47.4889807000
1505.3240000000	-47.4924765000
1505.3260000000	-47.4951265000
1505.3280000000	-47.4934948000
1505.3300000000	-47.4879944000
1505.3320000000	-47.4813168000
1505.3340000000	-47.4776165000
1505.3360000000	-47.4799197000
1505.3380000000	-47.4853040000
1505.3400000000	-47.4868126000
1505.3420000000	-47.4820847000
1505.3440000000	-47.4762745000
1505.3460000000	-47.4752103000
1505.3480000000	-47.4812309000
1505.3500000000	-47.4907952000
1505.3520000000	-47.4953573000
1505.3540000000	-47.4946349000
1505.3560000000	-47.4960137000
1505.3580000000	-47.5012789000
1505.3600000000	-47.5054531000
1505.3620000000	-47.5056853000
1505.3640000000	-47.5059682000
1505.3660000000	-47.5101063000
1505.3680000000	-47.5148105000
1505.3700000000	-47.5157226000
1505.3720000000	-47.5137934000
1505.3740000000	-47.5112606000
1505.3760000000	-47.5098205000
1505.3780000000	-47.5104630000
1505.3800000000	-47.5107716000
1505.3820000000	-47.5070965000
1505.3840000000	-47.5018526000
1505.3860000000	-47.4979452000
1505.3880000000	-47.4937445000
1505.3900000000	-47.4916113000
1505.3920000000	-47.4918823000
1505.3940000000	-47.4879798000
1505.3960000000	-47.4788510000
1505.3980000000	-47.4725114000
1505.4000000000	-47.4707950000
1505.4020000000	-47.4680490000
1505.4040000000	-47.4622941000
1505.4060000000	-47.4570354000
1505.4080000000	-47.4576869000
1505.4100000000	-47.4629873000
1505.4120000000	-47.4663194000
1505.4140000000	-47.4654634000
