# Wavelength [nm]	Power [dBm]
1505.0000000000	-46.8157635000
1505.0020000000	-46.8142318000
1505.0040000000	-46.8158382000
1505.0060000000	-46.8220526000
1505.0080000000	-46.8309838000
1505.0100000000	-46.8385984000
1505.0120000000	-46.8420418000
1505.0140000000	-46.8401391000
1505.0160000000	-46.8370658000
1505.0180000000	-46.8361785000
1505.0200000000	-46.8364279000
1505.0220000000	-46.8378431000
1505.0240000000	-46.8399902000
1505.0260000000	-46.8456107000
1505.0280000000	-46.8554134000
1505.0300000000	-46.8636323000
1505.0320000000	-46.8690595000
1505.0340000000	-46.8748574000
1505.0360000000	-46.8819312000
1505.0380000000	-46.8899407000
1505.0400000000	-46.8968745000
1505.0420000000	-46.8998766000
1505.0440000000	-46.9005452000
1505.0460000000	-46.9031170000
1505.0480000000	-46.9063613000
1505.0500000000	-46.9079999000
1505.0520000000	-46.9087387000
1505.0540000000	-46.9101521000
1505.0560000000	-46.9178688000
1505.0580000000	-46.9320492000
1505.0600000000	-46.9432808000
1505.0620000000	-46.9467473000
1505.0640000000	-46.9479869000
1505.0660000000	-46.9533949000
1505.0680000000	-46.9605065000
1505.0700000000	-46.9618858000
1505.0720000000	-46.9562239000
1505.0740000000	-46.9460755000
1505.0760000000	-46.9389070000
1505.0780000000	-46.9415652000
1505.0800000000	-46.9468146000
1505.0820000000	-46.9470426000
1505.0840000000	-46.9455214000
1505.0860000000	-46.9463621000
1505.0880000000	-46.9493716000
1505.0900000000	-46.9509095000
1505.0920000000	-46.9473559000
1505.0940000000	-46.9417414000
1505.0960000000	-46.9386134000
1505.0980000000	-46.9400279000
1505.1000000000	-46.9438252000
1505.1020000000	-46.9424958000
1505.1040000000	-46.9350145000
1505.1060000000	-46.9281952000
1505.1080000000	-46.9254054000
1505.1100000000	-46.9269037000
1505.1120000000	-46.9311746000
1505.1140000000	-46.9336967000
1505.1160000000	-46.9322316000
1505.1180000000	-46.9303073000
1505.1200000000	-46.9305800000
1505.1220000000	-46.9304226000
1505.1240000000	-46.9252700000
1505.1260000000	-46.9152969000
1505.1280000000	-46.9059920000
1505.1300000000	-46.9019420000
1505.1320000000	-46.9035084000
1505.1340000000	-46.9051142000
1505.1360000000	-46.9023306000
1505.1380000000	-46.8993152000
1505.1400000000	-46.9005208000
1505.1420000000	-46.9022946000
1505.1440000000	-46.8981889000
1505.1460000000	-46.8887585000
1505.1480000000	-46.8818970000
1505.1500000000	-46.8826272000
1505.1520000000	-46.8902341000
1505.1540000000	-46.9009167000
1505.1560000000	-46.9055690000
1505.1580000000	-46.9022610000
1505.1600000000	-46.9006988000
1505.1620000000	-46.9052389000
1505.1640000000	-46.9131238000
1505.1660000000	-46.9201080000
1505.1680000000	-46.9228458000
1505.1700000000	-46.9228874000
1505.1720000000	-46.9253517000
1505.1740000000	-46.9330413000
1505.1760000000	-46.9427701000
1505.1780000000	-46.9473622000
1505.1800000000	-46.9480053000
1505.1820000000	-46.9534995000
1505.1840000000	-46.9635903000
1505.1860000000	-46.9728963000
1505.1880000000	-46.9779805000
1505.1900000000	-46.9798666000
1505.1920000000	-46.9838831000
1505.1940000000	-46.9912986000
1505.1960000000	-46.9999658000
1505.1980000000	-47.0060538000
1505.2000000000	-47.0085341000
1505.2020000000	-47.0112885000
1505.2040000000	-47.0134838000
1505.2060000000	-47.0101486000
1505.2080000000	-47.0020797000
1505.2100000000	-46.9947586000
1505.2120000000	-46.9920873000
1505.2140000000	-46.9937151000
1505.2160000000	-46.9955634000
1505.2180000000	-46.9935336000
1505.2200000000	-46.9862710000
1505.2220000000	-46.9763023000
1505.2240000000	-46.9677273000
1505.2260000000	-46.9603119000
1505.2280000000	-46.9530514000
1505.2300000000	-46.9479251000
1505.2320000000	-46.9467571000
1505.2340000000	-46.9490977000
1505.2360000000	-46.9504577000
1505.2380000000	-46.9474224000
1505.2400000000	-46.9427920000
1505.2420000000	-46.9410133000
1505.2440000000	-46.9421410000
1505.2460000000	-46.9415664000
1505.2480000000	-46.9398179000
1505.2500000000	-46.9416066000
1505.2520000000	-46.9500260000
1505.2540000000	-46.9649859000
1505.2560000000	-46.9760184000
1505.2580000000	-46.9742500000
1505.2600000000	-46.9675143000
1505.2620000000	-46.9684674000
1505.2640000000	-46.9769702000
1505.2660000000	-46.9855042000
1505.2680000000	-46.9917621000
1505.2700000000	-46.9990299000
1505.2720000000	-47.0126018000
1505.2740000000	-47.0319611000
1505.2760000000	-47.0460002000
1505.2780000000	-47.0467193000
1505.2800000000	-47.0421981000
1505.2820000000	-47.0408966000
1505.2840000000	-47.0432705000
1505.2860000000	-47.0500007000
1505.2880000000	-47.0595465000
1505.2900000000	-47.0671491000
1505.2920000000	-47.0721263000
1505.2940000000	-47.0773175000
1505.2960000000	-47.0835877000
1505.2980000000	-47.0882698000
1505.3000000000	-47.0899898000
1505.3020000000	-47.0952150000
1505.3040000000	-47.1071239000
1505.3060000000	-47.1179153000
1505.3080000000	-47.1206513000
1505.3100000000	-47.1156572000
1505.3120000000	-47.1106811000
1505.3140000000	-47.1137173000
1505.3160000000	-47.1211154000
1505.3180000000	-47.1251722000
1505.3200000000	-47.1255618000
1505.3220000000	-47.1253719000
1505.3240000000	-47.1289787000
1505.3260000000	-47.1380214000
1505.3280000000	-47.1487990000
1505.3300000000	-47.1592243000
1505.3320000000	-47.1668411000
1505.3340000000	-47.1707893000
1505.3360000000	-47.1743645000
1505.3380000000	-47.1770875000
1505.3400000000	-47.1757747000
1505.3420000000	-47.1726832000
1505.3440000000	-47.1749456000
1505.3460000000	-47.1827866000
1505.3480000000	-47.1892011000
1505.3500000000	-47.1919504000
1505.3520000000	-47.1916546000
1505.3540000000	-47.1876505000
1505.3560000000	-47.1856819000
1505.3580000000	-47.1891254000
1505.3600000000	-47.1907447000
1505.3620000000	-47.1859063000
1505.3640000000	-47.1791695000
1505.3660000000	-47.1791938000
1505.3680000000	-47.1890538000
1505.3700000000	-47.2012307000
1505.3720000000	-47.2052228000
1505.3740000000	-47.2007003000
1505.3760000000	-47.1969261000
1505.3780000000	-47.1995424000
1505.3800000000	-47.2041831000
1505.3820000000	-47.2039234000
1505.3840000000	-47.2000274000
1505.3860000000	-47.1961564000
1505.3880000000	-47.1929772000
1505.3900000000	-47.1938764000
1505.3920000000	-47.1972994000
1505.3940000000	-47.1996535000
1505.3960000000	-47.1986574000
1505.3980000000	-47.1974685000
1505.4000000000	-47.2015222000
1505.4020000000	-47.2061639000
1505.4040000000	-47.2108417000
1505.4060000000	-47.2186504000
1505.4080000000	-47.2260193000
1505.4100000000	-47.2293639000
1505.4120000000	-47.2296231000
1505.4140000000	-47.2285947000
1505.4160000000	-47.2273612000
1505.4180000000	-47.2282120000
1505.4200000000	-47.2323957000
1505.4220000000	-47.2389868000
1505.4240000000	-47.2469318000
1505.4260000000	-47.2551726000
1505.4280000000	-47.2618602000
1505.4300000000	-47.2649893000
1505.4320000000	-47.2627392000
1505.4340000000	-47.2580994000
1505.4360000000	-47.2563199000
1505.4380000000	-47.2580708000
1505.4400000000	-47.2617829000
1505.4420000000	-47.2647376000
1505.4440000000	-47.2659847000
1505.4460000000	-47.2669753000
1505.4480000000	-47.2683859000
1505.4500000000	-47.2689550000
1505.4520000000	-47.2669087000
1505.4540000000	-47.2623973000
1505.4560000000	-47.2601927000
1505.4580000000	-47.2659337000
1505.4600000000	-47.2762014000
1505.4620000000	-47.2806575000
1505.4640000000	-47.2775648000
1505.4660000000	-47.2723227000
