# Wavelength [nm]	Power [dBm]
1505.0000000000	-70.1737612000
1505.0020000000	-70.6437381000
1505.0040000000	-70.5930300000
1505.0060000000	-70.8630576000
1505.0080000000	-72.0356592000
1505.0100000000	-74.8037103000
1505.0120000000	-77.0551835000
1505.0140000000	-74.5796394000
1505.0160000000	-74.0784225000
1505.0180000000	-79.2286414000
1505.0200000000	-100.0000000000
1505.0220000000	-100.0000000000
1505.0240000000	-100.0000000000
1505.0260000000	-100.0000000000
1505.0280000000	-100.0000000000
1505.0300000000	-100.0000000000
1505.0320000000	-100.0000000000
1505.0340000000	-100.0000000000
1505.0360000000	-100.0000000000
1505.0380000000	-100.0000000000
1505.0400000000	-100.0000000000
1505.0420000000	-100.0000000000
1505.0440000000	-100.0000000000
1505.0460000000	-100.0000000000
1505.0480000000	-100.0000000000
1505.0500000000	-100.0000000000
1505.0520000000	-100.0000000000
1505.0540000000	-100.0000000000
1505.0560000000	-100.0000000000
1505.0580000000	-100.0000000000
1505.0600000000	-100.0000000000
1505.0620000000	-100.0000000000
1505.0640000000	-100.0000000000
1505.0660000000	-100.0000000000
1505.0680000000	-100.0000000000
1505.0700000000	-100.0000000000
1505.0720000000	-100.0000000000
1505.0740000000	-100.0000000000
1505.0760000000	-100.0000000000
1505.0780000000	-100.0000000000
1505.0800000000	-100.0000000000
1505.0820000000	-100.0000000000
1505.0840000000	-100.0000000000
1505.0860000000	-100.0000000000
1505.0880000000	-100.0000000000
1505.0900000000	-100.0000000000
1505.0920000000	-100.0000000000
1505.0940000000	-100.0000000000
1505.0960000000	-100.0000000000
1505.0980000000	-100.0000000000
1505.1000000000	-100.0000000000
1505.1020000000	-100.0000000000
1505.1040000000	-100.0000000000
1505.1060000000	-100.0000000000
1505.1080000000	-100.0000000000
1505.1100000000	-100.0000000000
1505.1120000000	-100.0000000000
1505.1140000000	-100.0000000000
1505.1160000000	-100.0000000000
1505.1180000000	-100.0000000000
1505.1200000000	-100.0000000000
1505.1220000000	-100.0000000000
1505.1240000000	-100.0000000000
1505.1260000000	-100.0000000000
1505.1280000000	-100.0000000000
1505.1300000000	-100.0000000000
1505.1320000000	-100.0000000000
1505.1340000000	-100.0000000000
1505.1360000000	-100.0000000000
1505.1380000000	-100.0000000000
1505.1400000000	-100.0000000000
1505.1420000000	-100.0000000000
1505.1440000000	-100.0000000000
1505.1460000000	-100.0000000000
1505.1480000000	-100.0000000000
1505.1500000000	-100.0000000000
1505.1520000000	-100.0000000000
1505.1540000000	-100.0000000000
1505.1560000000	-100.0000000000
1505.1580000000	-100.0000000000
1505.1600000000	-100.0000000000
1505.1620000000	-100.0000000000
1505.1640000000	-100.0000000000
1505.1660000000	-100.0000000000
1505.1680000000	-100.0000000000
1505.1700000000	-100.0000000000
1505.1720000000	-100.0000000000
1505.1740000000	-100.0000000000
1505.1760000000	-100.0000000000
1505.1780000000	-100.0000000000
1505.1800000000	-100.0000000000
1505.1820000000	-100.0000000000
1505.1840000000	-100.0000000000
1505.1860000000	-100.0000000000
1505.1880000000	-100.0000000000
1505.1900000000	-100.0000000000
1505.1920000000	-100.0000000000
1505.1940000000	-100.0000000000
1505.1960000000	-100.0000000000
1505.1980000000	-100.0000000000
1505.2000000000	-100.0000000000
1505.2020000000	-100.0000000000
1505.2040000000	-100.0000000000
1505.2060000000	-100.0000000000
1505.2080000000	-100.0000000000
1505.2100000000	-100.0000000000
1505.2120000000	-100.0000000000
1505.2140000000	-80.9484828000
1505.2160000000	-77.7580490000
1505.2180000000	-76.1674762000
1505.2200000000	-75.6718701000
1505.2220000000	-77.5606666000
1505.2240000000	-100.0000000000
1505.2260000000	-100.0000000000
1505.2280000000	-100.0000000000
1505.2300000000	-77.8875793000
1505.2320000000	-74.2639486000
1505.2340000000	-73.5292096000
1505.2360000000	-74.7253677000
1505.2380000000	-76.5786310000
1505.2400000000	-77.0467329000
1505.2420000000	-76.8913924000
1505.2440000000	-80.3395374000
1505.2460000000	-100.0000000000
1505.2480000000	-100.0000000000
1505.2500000000	-100.0000000000
1505.2520000000	-100.0000000000
1505.2540000000	-79.0391388000
1505.2560000000	-81.5500730000
1505.2580000000	-100.0000000000
1505.2600000000	-100.0000000000
1505.2620000000	-100.0000000000
1505.2640000000	-100.0000000000
1505.2660000000	-100.0000000000
1505.2680000000	-100.0000000000
1505.2700000000	-100.0000000000
1505.2720000000	-100.0000000000
1505.2740000000	-100.0000000000
1505.2760000000	-100.0000000000
1505.2780000000	-100.0000000000
1505.2800000000	-83.3146156000
1505.2820000000	-75.1866166000
1505.2840000000	-73.1676346000
1505.2860000000	-73.7924912000
1505.2880000000	-76.6791814000
1505.2900000000	-77.8979181000
1505.2920000000	-76.8822168000
1505.2940000000	-78.6745548000
1505.2960000000	-79.8108485000
1505.2980000000	-76.5601976000
1505.3000000000	-75.0145091000
1505.3020000000	-76.0725638000
1505.3040000000	-76.6351215000
1505.3060000000	-73.1484766000
1505.3080000000	-70.6531615000
1505.3100000000	-70.0537834000
1505.3120000000	-70.8203485000
1505.3140000000	-72.0515411000
1505.3160000000	-72.8351561000
1505.3180000000	-74.2404241000
1505.3200000000	-75.4721181000
1505.3220000000	-73.7147733000
1505.3240000000	-72.8807958000
1505.3260000000	-75.4424862000
1505.3280000000	-100.0000000000
1505.3300000000	-100.0000000000
1505.3320000000	-100.0000000000
1505.3340000000	-100.0000000000
1505.3360000000	-100.0000000000
1505.3380000000	-100.0000000000
1505.3400000000	-100.0000000000
1505.3420000000	-100.0000000000
1505.3440000000	-100.0000000000
1505.3460000000	-100.0000000000
1505.3480000000	-100.0000000000
1505.3500000000	-100.0000000000
1505.3520000000	-100.0000000000
1505.3540000000	-100.0000000000
1505.3560000000	-100.0000000000
1505.3580000000	-100.0000000000
1505.3600000000	-100.0000000000
1505.3620000000	-100.0000000000
1505.3640000000	-100.0000000000
1505.3660000000	-100.0000000000
1505.3680000000	-100.0000000000
1505.3700000000	-100.0000000000
1505.3720000000	-100.0000000000
1505.3740000000	-100.0000000000
1505.3760000000	-100.0000000000
1505.3780000000	-100.0000000000
1505.3800000000	-100.0000000000
1505.3820000000	-100.0000000000
1505.3840000000	-100.0000000000
1505.3860000000	-100.0000000000
1505.3880000000	-100.0000000000
1505.3900000000	-100.0000000000
1505.3920000000	-100.0000000000
1505.3940000000	-100.0000000000
1505.3960000000	-100.0000000000
1505.3980000000	-100.0000000000
1505.4000000000	-100.0000000000
1505.4020000000	-100.0000000000
1505.4040000000	-86.6800999000
1505.4060000000	-100.0000000000
1505.4080000000	-100.0000000000
1505.4100000000	-100.0000000000
1505.4120000000	-100.0000000000
1505.4140000000	-100.0000000000
1505.4160000000	-100.0000000000
1505.4180000000	-100.0000000000
1505.4200000000	-100.0000000000
1505.4220000000	-100.0000000000
1505.4240000000	-100.0000000000
1505.4260000000	-100.0000000000
1505.4280000000	-100.0000000000
1505.4300000000	-100.0000000000
1505.4320000000	-100.0000000000
1505.4340000000	-100.0000000000
1505.4360000000	-100.0000000000
1505.4380000000	-100.0000000000
1505.4400000000	-100.0000000000
1505.4420000000	-100.0000000000
1505.4440000000	-100.0000000000
1505.4460000000	-100.0000000000
1505.4480000000	-100.0000000000
1505.4500000000	-86.6763058000
1505.4520000000	-82.4845510000
1505.4540000000	-82.4915965000
1505.4560000000	-77.1289502000
1505.4580000000	-72.9232367000
1505.4600000000	-71.3791890000
1505.4620000000	-71.3693561000
1505.4640000000	-72.2135824000
1505.4660000000	-72.9637756000
1505.4680000000	-73.3295226000
1505.4700000000	-74.2012116000
1505.4720000000	-79.6267947000
1505.4740000000	-100.0000000000
1505.4760000000	-100.0000000000
1505.4780000000	-100.0000000000
1505.4800000000	-100.0000000000
1505.4820000000	-100.0000000000
1505.4840000000	-100.0000000000
1505.4860000000	-100.0000000000
1505.4880000000	-100.0000000000
1505.4900000000	-100.0000000000
1505.4920000000	-100.0000000000
1505.4940000000	-100.0000000000
1505.4960000000	-100.0000000000
1505.4980000000	-100.0000000000
1505.5000000000	-100.0000000000
1505.5020000000	-100.0000000000
1505.5040000000	-100.0000000000
1505.5060000000	-100.0000000000
1505.5080000000	-100.0000000000
1505.5100000000	-100.0000000000
1505.5120000000	-100.0000000000
1505.5140000000	-100.0000000000
1505.5160000000	-100.0000000000
1505.5180000000	-100.0000000000
1505.5200000000	-100.0000000000
1505.5220000000	-100.0000000000
1505.5240000000	-100.0000000000
1505.5260000000	-100.0000000000
1505.5280000000	-100.0000000000
1505.5300000000	-100.0000000000
1505.5320000000	-100.0000000000
1505.5340000000	-100.0000000000
1505.5360000000	-100.0000000000
1505.5380000000	-100.0000000000
1505.5400000000	-100.0000000000
1505.5420000000	-100.0000000000
1505.5440000000	-100.0000000000
1505.5460000000	-100.0000000000
1505.5480000000	-100.0000000000
1505.5500000000	-100.0000000000
1505.5520000000	-100.0000000000
1505.5540000000	-100.0000000000
1505.5560000000	-100.0000000000
1505.5580000000	-100.0000000000
1505.5600000000	-100.0000000000
1505.5620000000	-100.0000000000
1505.5640000000	-100.0000000000
1505.5660000000	-100.0000000000
1505.5680000000	-100.0000000000
1505.5700000000	-100.0000000000
1505.5720000000	-100.0000000000
1505.5740000000	-100.0000000000
1505.5760000000	-100.0000000000
1505.5780000000	-100.0000000000
1505.5800000000	-100.0000000000
1505.5820000000	-100.0000000000
1505.5840000000	-100.0000000000
1505.5860000000	-100.0000000000
1505.5880000000	-100.0000000000
1505.5900000000	-100.0000000000
1505.5920000000	-100.0000000000
1505.5940000000	-100.0000000000
1505.5960000000	-100.0000000000
1505.5980000000	-100.0000000000
1505.6000000000	-100.0000000000
1505.6020000000	-100.0000000000
1505.6040000000	-100.0000000000
1505.6060000000	-100.0000000000
1505.6080000000	-100.0000000000
1505.6100000000	-100.0000000000
1505.6120000000	-100.0000000000
1505.6140000000	-100.0000000000
1505.6160000000	-100.0000000000
1505.6180000000	-100.0000000000
1505.6200000000	-100.0000000000
1505.6220000000	-100.0000000000
1505.6240000000	-100.0000000000
1505.6260000000	-100.0000000000
1505.6280000000	-100.0000000000
1505.6300000000	-100.0000000000
1505.6320000000	-100.0000000000
1505.6340000000	-100.0000000000
1505.6360000000	-100.0000000000
1505.6380000000	-100.0000000000
