# Wavelength [nm]	Power [dBm]
1505.0000000000	-69.0184563000
1505.0020000000	-68.4729864000
1505.0040000000	-68.3352003000
1505.0060000000	-68.7411055000
1505.0080000000	-69.3216678000
1505.0100000000	-70.3077037000
1505.0120000000	-72.3684401000
1505.0140000000	-74.0881099000
1505.0160000000	-74.5435198000
1505.0180000000	-77.7655657000
1505.0200000000	-100.0000000000
1505.0220000000	-100.0000000000
1505.0240000000	-100.0000000000
1505.0260000000	-100.0000000000
1505.0280000000	-100.0000000000
1505.0300000000	-100.0000000000
1505.0320000000	-100.0000000000
1505.0340000000	-100.0000000000
1505.0360000000	-100.0000000000
1505.0380000000	-100.0000000000
1505.0400000000	-100.0000000000
1505.0420000000	-100.0000000000
1505.0440000000	-100.0000000000
1505.0460000000	-100.0000000000
1505.0480000000	-100.0000000000
1505.0500000000	-100.0000000000
1505.0520000000	-100.0000000000
1505.0540000000	-100.0000000000
1505.0560000000	-100.0000000000
1505.0580000000	-100.0000000000
1505.0600000000	-100.0000000000
1505.0620000000	-100.0000000000
1505.0640000000	-100.0000000000
1505.0660000000	-100.0000000000
1505.0680000000	-100.0000000000
1505.0700000000	-100.0000000000
1505.0720000000	-100.0000000000
1505.0740000000	-100.0000000000
1505.0760000000	-100.0000000000
1505.0780000000	-100.0000000000
1505.0800000000	-75.1325702000
1505.0820000000	-71.0501384000
1505.0840000000	-69.8876811000
1505.0860000000	-69.6126064000
1505.0880000000	-69.6314394000
1505.0900000000	-69.6204835000
1505.0920000000	-69.5686528000
1505.0940000000	-69.7625712000
1505.0960000000	-69.9462069000
1505.0980000000	-69.4774000000
1505.1000000000	-68.7699336000
1505.1020000000	-68.4689926000
1505.1040000000	-68.2736676000
1505.1060000000	-67.7260880000
1505.1080000000	-67.3464795000
1505.1100000000	-67.5370406000
1505.1120000000	-67.9108076000
1505.1140000000	-68.4801281000
1505.1160000000	-69.5858293000
1505.1180000000	-70.8426435000
1505.1200000000	-71.3570562000
1505.1220000000	-71.1897009000
1505.1240000000	-71.0190698000
1505.1260000000	-70.5958523000
1505.1280000000	-70.0351816000
1505.1300000000	-69.8188076000
1505.1320000000	-70.0141466000
1505.1340000000	-70.3913178000
1505.1360000000	-70.1522990000
1505.1380000000	-69.7624918000
1505.1400000000	-70.4108581000
1505.1420000000	-71.9558835000
1505.1440000000	-72.7251930000
1505.1460000000	-72.6693281000
1505.1480000000	-73.0338268000
1505.1500000000	-73.1547561000
1505.1520000000	-73.6294713000
1505.1540000000	-75.3601960000
1505.1560000000	-78.8483074000
1505.1580000000	-100.0000000000
1505.1600000000	-100.0000000000
1505.1620000000	-100.0000000000
1505.1640000000	-100.0000000000
1505.1660000000	-100.0000000000
1505.1680000000	-100.0000000000
1505.1700000000	-100.0000000000
1505.1720000000	-100.0000000000
1505.1740000000	-100.0000000000
1505.1760000000	-100.0000000000
1505.1780000000	-100.0000000000
