# Wavelength [nm]	Power [dBm]
1505.0000000000	-73.7122934000
1505.0020000000	-74.4112320000
1505.0040000000	-75.2487712000
1505.0060000000	-73.8770654000
1505.0080000000	-71.6224498000
1505.0100000000	-69.8542513000
1505.0120000000	-68.7706092000
1505.0140000000	-68.1072544000
1505.0160000000	-67.3338210000
1505.0180000000	-66.4568372000
1505.0200000000	-66.0622606000
1505.0220000000	-66.3173114000
1505.0240000000	-66.5972825000
1505.0260000000	-66.4085102000
1505.0280000000	-66.1069696000
1505.0300000000	-66.1628855000
1505.0320000000	-66.5746374000
1505.0340000000	-67.0335842000
1505.0360000000	-67.3021659000
1505.0380000000	-67.3982348000
1505.0400000000	-67.5433577000
1505.0420000000	-67.6378696000
1505.0440000000	-67.5485428000
1505.0460000000	-67.4151698000
1505.0480000000	-67.3505168000
1505.0500000000	-67.1312936000
1505.0520000000	-66.4805798000
1505.0540000000	-65.9774781000
1505.0560000000	-65.8588807000
1505.0580000000	-65.7280781000
1505.0600000000	-65.5022497000
1505.0620000000	-65.3685251000
1505.0640000000	-65.3615933000
1505.0660000000	-65.4276551000
1505.0680000000	-65.6199449000
1505.0700000000	-66.1061608000
1505.0720000000	-67.0925133000
1505.0740000000	-68.3523167000
1505.0760000000	-68.9068204000
1505.0780000000	-68.5513933000
1505.0800000000	-68.4288376000
1505.0820000000	-68.4927262000
1505.0840000000	-68.2053378000
1505.0860000000	-67.8175692000
1505.0880000000	-67.5539411000
1505.0900000000	-67.4863397000
1505.0920000000	-67.3738730000
1505.0940000000	-67.0495905000
1505.0960000000	-66.4678301000
1505.0980000000	-65.8270555000
1505.1000000000	-65.6128583000
1505.1020000000	-65.8546125000
1505.1040000000	-66.1273928000
1505.1060000000	-66.3086821000
1505.1080000000	-66.7614272000
1505.1100000000	-67.4269495000
1505.1120000000	-67.3453570000
1505.1140000000	-66.5520370000
1505.1160000000	-66.1239886000
1505.1180000000	-66.2369149000
1505.1200000000	-66.4565918000
1505.1220000000	-66.5802724000
1505.1240000000	-66.7698157000
1505.1260000000	-67.1237609000
1505.1280000000	-67.4637396000
1505.1300000000	-67.7474766000
1505.1320000000	-68.1191936000
1505.1340000000	-68.5462244000
1505.1360000000	-68.4727732000
1505.1380000000	-67.7520210000
1505.1400000000	-67.1874345000
1505.1420000000	-67.0131614000
1505.1440000000	-66.8017179000
1505.1460000000	-66.5052975000
1505.1480000000	-66.3493601000
1505.1500000000	-66.2414989000
1505.1520000000	-66.0447464000
1505.1540000000	-65.8634840000
1505.1560000000	-65.7240887000
1505.1580000000	-65.7174191000
1505.1600000000	-65.8854155000
1505.1620000000	-66.0419332000
1505.1640000000	-66.1824085000
1505.1660000000	-66.3070906000
1505.1680000000	-66.1989273000
1505.1700000000	-65.8684621000
1505.1720000000	-65.6625817000
1505.1740000000	-65.6798816000
1505.1760000000	-65.6985356000
1505.1780000000	-65.5808586000
1505.1800000000	-65.4710788000
1505.1820000000	-65.4610289000
1505.1840000000	-65.4362755000
1505.1860000000	-65.5622722000
1505.1880000000	-65.8889127000
1505.1900000000	-66.2087099000
1505.1920000000	-66.7002522000
1505.1940000000	-67.3981386000
1505.1960000000	-67.9124284000
1505.1980000000	-68.2171829000
1505.2000000000	-68.2744764000
1505.2020000000	-67.9286150000
1505.2040000000	-67.7755078000
1505.2060000000	-68.3460022000
1505.2080000000	-69.7479743000
1505.2100000000	-71.7060295000
1505.2120000000	-73.4620112000
1505.2140000000	-75.0486025000
1505.2160000000	-77.5423099000
1505.2180000000	-85.2740813000
1505.2200000000	-100.0000000000
1505.2220000000	-100.0000000000
1505.2240000000	-100.0000000000
1505.2260000000	-100.0000000000
1505.2280000000	-100.0000000000
1505.2300000000	-81.2189160000
1505.2320000000	-73.6375995000
1505.2340000000	-71.9143320000
1505.2360000000	-72.2077888000
1505.2380000000	-72.6533162000
1505.2400000000	-71.8688458000
1505.2420000000	-70.7769289000
1505.2440000000	-70.5828554000
1505.2460000000	-71.1400632000
1505.2480000000	-70.7173641000
1505.2500000000	-69.1172983000
1505.2520000000	-68.1349148000
1505.2540000000	-67.9388648000
1505.2560000000	-67.8970484000
1505.2580000000	-67.9048127000
1505.2600000000	-68.2706282000
1505.2620000000	-68.8627308000
1505.2640000000	-68.8106603000
1505.2660000000	-67.9661519000
1505.2680000000	-67.1967499000
1505.2700000000	-66.6898952000
1505.2720000000	-66.2190051000
1505.2740000000	-65.8332559000
1505.2760000000	-65.6851238000
1505.2780000000	-65.8578167000
1505.2800000000	-65.9905737000
1505.2820000000	-66.0178551000
1505.2840000000	-66.3157534000
